source,author,title,description,url,urlToImage,publishedAt,content,search_topic
"{'id': None, 'name': 'The Star Online'}",CHARLES RAMENDRAN,Rights of Orang Asli paramount,BANTING: The indigenous community is a vital pillar in shaping the nation's identity and cultural diversity to further fuel unity and strength among races in the country said National Unity Minister Datuk Aaron Ago Dagang. Read full story,https://www.thestar.com.my/news/nation/2025/08/10/rights-of-orang-asli-paramount,https://apicms.thestar.com.my/uploads/images/2025/08/10/3459811.jpg,2025-08-09T16:00:00Z,"Govt pledges to prioritise the lives, culture of the indigenous people
BANTING: The indigenous community is a vital pillar in shaping the nations identity and cultural diversity to further fuel unit… [+2918 chars]",climate change
"{'id': None, 'name': 'The Star Online'}",The Star Online,Firms stepping up to help the less fortunate,"PETALING JAYA: From bringing a smile to the faces of the less fortunate, donating basic necessities, cleaning beaches and installing solar panels in schools and villages, companies are doing their part for the betterment of society. Read full story",https://www.thestar.com.my/news/nation/2025/08/10/firms-stepping-up-to-help-the-less-fortunate,https://apicms.thestar.com.my/uploads/images/2025/08/10/3459826.jpg,2025-08-09T16:00:00Z,"PETALING JAYA: From bringing a smile to the faces of the less fortunate, donating basic necessities, cleaning beaches and installing solar panels in schools and villages, companies are doing their pa… [+3483 chars]",climate change
"{'id': None, 'name': 'The-independent.com'}",Greg Evans,Amy Schumer undergoes back surgery following surfing accident,"In typical Schumer fashion, the comedian managed to make a joke about her situation",https://www.the-independent.com/life-style/amy-schumer-back-surgery-surfing-laminectomy-b2804857.html,https://static.the-independent.com/2023/10/27/17/newFile.jpg?width=1200&height=800&crop=1200:800,2025-08-09T15:47:55Z,"Your support helps us to tell the story
From reproductive rights to climate change to Big Tech, The Independent is on the ground when the story is developing. Whether it's investigating the financia… [+3427 chars]",climate change
"{'id': None, 'name': 'Khabarhub.com'}",Khabarhub,‘New constitution offers several rights to indigenous nationalities communities’,KATHMANDU: Minister for Communications and Information Technology Prithvi Subba Gurung has said that the country entered into the federal system thanks to the struggles of the indigenous nationalities and Madhesi communities. At a programme here Saturday orga…,https://english.khabarhub.com/2025/09/490014/,https://english.khabarhub.com/wp-content/uploads/2025/04/prithvi-subba-gurung.jpg,2025-08-09T15:45:34Z,KATHMANDU: Minister for Communications and Information Technology Prithvi Subba Gurung has said that the country entered into the federal system thanks to the struggles of the indigenous nationalitie… [+2355 chars],climate change
"{'id': None, 'name': 'Common Dreams'}",Julia Conley,"Campaigners Confront Plastics Treaty Delegates, Demanding Deal That Stops Pollution 'At Its Source'","As the final negotiations for a Global Plastics Treaty reached the halfway point on Saturday, delegates entering the Palais des Nations in Geneva, Switzerland for the day's talks were met by more than 200 campaigners representing civil society groups who stoo…",https://www.commondreams.org/news/un-plastic-treaty,https://www.commondreams.org/media-library/image.jpg?id=61446458&width=1200&height=600&coordinates=0%2C480%2C0%2C480,2025-08-09T15:28:58Z,"As the final negotiations for a Global Plastics Treaty reached the halfway point on Saturday, delegates entering the Palais des Nations in Geneva, Switzerland for the day's talks were met by more tha… [+4988 chars]",climate change
"{'id': None, 'name': 'The-independent.com'}",Amber Raiken,Chick-fil-A announces new limited-time menu items for fall,The new menu will be available nationwide starting August 18,https://www.the-independent.com/life-style/chick-fil-a-new-fall-menu-items-b2804851.html,"https://static.the-independent.com/2025/08/07/15/40/iStock-635717214.jpeg?trim=0,0,0,0&width=1200&height=800&crop=1200:800",2025-08-09T15:23:59Z,"Your support helps us to tell the story
From reproductive rights to climate change to Big Tech, The Independent is on the ground when the story is developing. Whether it's investigating the financia… [+3649 chars]",climate change
"{'id': None, 'name': 'The-independent.com'}",Kevin E G Perry,Michael Jackson’s estate battle: A timeline of the feud between star’s daughter Paris and executors,Paris Jackson has alleged that lawyers are ‘skimming money’ from the late King of Pop’s estate,https://www.the-independent.com/arts-entertainment/music/news/michael-jackson-estate-daughter-paris-executors-feud-b2804849.html,https://static.the-independent.com/2025/03/14/10/23/GettyImages-52430066.jpeg?width=1200&height=800&crop=1200:800,2025-08-09T15:22:56Z,"Your support helps us to tell the story
From reproductive rights to climate change to Big Tech, The Independent is on the ground when the story is developing. Whether it's investigating the financia… [+8421 chars]",climate change
"{'id': None, 'name': 'Yanko Design'}",Aki Ukita,10 Clever Home Upgrades That Disappear – But Change Everything,"10 Clever Home Upgrades That Disappear – But Change EverythingStep into a home where the smartest ideas are the ones you barely see. This is the beauty of design that blends in, with solutions...",https://www.yankodesign.com/2025/08/09/10-clever-home-upgrades-that-disappear-but-change-everything/,https://www.yankodesign.com/images/design_news/2025/08/10-clever-home-upgrades-that-disappear-but-change-everything/invisible_shoehorn_hero.jpg,2025-08-09T15:20:38Z,"Step into a home where the smartest ideas are the ones you barely see. This is the beauty of design that blends in, with solutions quietly disguising themselves within your space and working in the b… [+9959 chars]",climate change
"{'id': None, 'name': 'Psychology Today'}",Kyle Davies BSc MPhil CPsychol,What Is Social Anxiety Really Trying to Tell You?,"What if social anxiety isn’t a problem but feedback, a sign that you're trading authenticity for performance?",https://www.psychologytoday.com/us/blog/the-mind-body-link/202508/what-is-social-anxiety-really-trying-to-tell-you,https://cdn2.psychologytoday.com/assets/styles/manual_crop_1_91_1_1528x800/public/teaser_image/blog_entry/2025-08/pexels-cottonbro-3171837.jpg?itok=E7T56KHf,2025-08-09T15:12:50Z,"Youve been invited to a party at the weekend. The butterflies kick in and excitement registers, but this is quickly replaced with something else. The mere thought of going sets off a chain reaction t… [+6009 chars]",climate change
"{'id': None, 'name': 'The Denver Post'}",James Burky,Uncertainty looms over Boulder’s iconic NOAA labs site,"The murky future of Boulder's four NOAA research labs has brought renewed attention to their economic, scientific and cultural importance.",https://www.denverpost.com/2025/08/09/boulder-noaa-labs-cuts/,https://www.denverpost.com/wp-content/uploads/2025/08/DCC-L-PROTEST_2MJ8064.jpg?w=1024&h=682,2025-08-09T15:03:54Z,"Science has guided much of Laura Riihimaki’s life.
From left, Sandy MacDonald, Director of NOAA Forecast Systems; Robin Webb, retired from NOAA; Laura Riihimaki, former staff of NOAA Global Monitori… [+9360 chars]",climate change
"{'id': None, 'name': 'Bringatrailer.com'}",bringatrailer,2015 Porsche Cayenne Diesel,This 2015 Porsche Cayenne Diesel is finished in Moonlight Blue Metallic over Agate Grey leather upholstery and is powered by a turbocharged 3.0-liter diesel V6 linked with an eight-speed Tiptronic S automatic transmission and a locking center differential. Th…,https://bringatrailer.com/listing/2015-porsche-cayenne-diesel-133/,https://bringatrailer.com/wp-content/uploads/2025/07/2015_porsche_cayenne-diesel_dsc8237-02000.jpg,2025-08-09T15:00:09Z,This 2015 Porsche Cayenne Diesel is finished in Moonlight Blue Metallic over Agate Grey leather upholstery and is powered by a turbocharged 3.0-liter diesel V6 linked with an eight-speed Tiptronic S … [+3047 chars],climate change
"{'id': None, 'name': 'Science Daily'}",,Scientists just measured how fast glaciers carve the Earth,"Scientists used machine learning to reveal how glaciers erode the land at varying speeds, shaped by climate, geology, and heat. The findings help guide global planning from environmental management to nuclear waste storage.",https://www.sciencedaily.com/releases/2025/08/250809100914.htm,https://www.sciencedaily.com/images/1920/canadian-arctic-glacial-erosion.webp,2025-08-09T14:59:50Z,"Glaciers carved the deep valleys of Banff, eroded Ontario to deposit the fertile soils of the Prairies and continue to change the Earth's surface. But how fast do glaciers sculpt the landscape?Publis… [+1843 chars]",climate change
"{'id': None, 'name': 'Hatenablog.com'}",himaginary,有志連合のすゝめ,"ブランシャールが今月初めに以下のようにツイートしている。 This is even more true than when I wrote it on Feb 14. The ""deal"" with the US shows even more clearly the cost of not doing so. （拙訳） これは私が2月14日に書いた時よりもさらに真実味を増している。米国との「取引」は、そうしないことの対価を一層明確に示している。 そこでRTされた2月のツイートは以下の通り。 Enough of …",https://himaginary.hatenablog.com/entry/20250809/Blanchard_on_coalitions_of_the_willing,https://ogimage.blog.st-hatena.com/10257846132691692185/6802418398539436633/1754778742,2025-08-09T14:59:00Z,"ブランシャールが今月初めに以下のようにツイートしている。

 
 This is even more true than when I wrote it on Feb 14. The ""deal"" with the US shows even more clearly the cost of not doing so.
（拙訳）
これは私が2月14日に書いた時よりもさらに真実味を増している。米国… [+4300 chars]",climate change
"{'id': None, 'name': 'The-independent.com'}",Greg Evans,Alison Steadman recalls ‘ridiculous’ question she was asked after breaking her foot,The incident left the star ‘sobbing in agony’,https://www.the-independent.com/life-style/alison-steadman-foot-injury-dubai-camel-b2804812.html,https://static.the-independent.com/2023/08/18/13/PRI166432480.jpg?width=1200&height=800&crop=1200:800,2025-08-09T14:53:53Z,"Your support helps us to tell the story
From reproductive rights to climate change to Big Tech, The Independent is on the ground when the story is developing. Whether it's investigating the financia… [+2858 chars]",climate change
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Global Desk,Perrier in hot water? France rocked by scandal over bottled water purity claims,"France's bottled water industry, including Perrier, faces a credibility crisis due to unreported water treatments. Investigations reveal that companies have been illegally filtering water, raising concerns about the integrity of ""natural mineral water."" Perri…",https://economictimes.indiatimes.com/news/international/us/perrier-in-hot-water-france-rocked-by-scandal-over-bottled-water-purity-claims/articleshow/123206106.cms,"https://img.etimg.com/thumb/msid-123206137,width-1200,height-630,imgsize-69798,overlay-economictimes/articleshow.jpg",2025-08-09T14:51:46Z,"France's thriving bottled water market, where familiar names like Perrier, Evian, and Vittel reside, is now hit with its largest credibility crisis in decades, as news of unreported water treatment p… [+3613 chars]",climate change
"{'id': None, 'name': 'Freethoughtblogs.com'}",PZ Myers,Does this sound familiar?,"A historical analysis reveals something that will probably sound familiar. “We can’t put a date on Doomsday, but by looking at the 5,000 years of [civilisation], we can understand the trajectories we face today – and self-termination is most likely,” says Dr …",https://freethoughtblogs.com/pharyngula/2025/08/09/does-this-sound-familiar/,https://freethoughtblogs.com/pharyngula/wp-content/themes/ftb2-theme/images/logo.gif,2025-08-09T14:48:17Z,"A historical analysis reveals something that will probably sound familiar.
We cant put a date on Doomsday, but by looking at the 5,000 years of [civilisation], we can understand the trajectories we … [+2735 chars]",climate change
"{'id': None, 'name': 'Science Daily'}",,332 colossal canyons just revealed beneath Antarctica’s ice,"Deep beneath the Antarctic seas lies a hidden network of 332 colossal submarine canyons, some plunging over 4,000 meters, revealed in unprecedented detail by new high-resolution mapping. These underwater valleys, shaped by glacial forces and powerful sediment…",https://www.sciencedaily.com/releases/2025/08/250809100910.htm,https://www.sciencedaily.com/images/1920/antarctica-glacier-sunny-day.webp,2025-08-09T14:46:57Z,"Submarine canyons are among the most spectacular and fascinating geological formations to be found on our ocean floors, but at an international level scientists have yet to uncover many of their secr… [+6599 chars]",climate change
"{'id': None, 'name': 'The-independent.com'}",Roisin O'Connor,Macaulay Culkin has good reason to think Home Alone 2 is better than the original,"Former child star appeared on Sean Evans’ show ‘Hot Ones’ two years after his younger brother, Kieran Culkin, took on the spicy wing challenge",https://www.the-independent.com/arts-entertainment/films/news/macaulay-culkin-hot-ones-home-alone-2-salary-b2804834.html,https://static.the-independent.com/s3fs-public/thumbnails/image/2020/10/22/17/shutterstock-editorial-5883418l.jpg?width=1200&height=800&crop=1200:800,2025-08-09T14:40:52Z,"Your support helps us to tell the story
From reproductive rights to climate change to Big Tech, The Independent is on the ground when the story is developing. Whether it's investigating the financia… [+3580 chars]",climate change
"{'id': None, 'name': 'The-independent.com'}",Greg Evans,Couple featured in The Salt Path question ‘disappointing’ depiction in controversial book,Joanna Parsons asked Raynor Winn why she didn’t disclose that she was homeless in the latest claims against the book,https://www.the-independent.com/arts-entertainment/books/news/the-salt-path-joanna-david-parsons-b2804789.html,https://static.the-independent.com/s3fs-public/thumbnails/image/2018/08/23/13/raynor-winn-5.jpg?width=1200&height=800&crop=1200:800,2025-08-09T13:54:47Z,"Your support helps us to tell the story
From reproductive rights to climate change to Big Tech, The Independent is on the ground when the story is developing. Whether it's investigating the financia… [+4144 chars]",climate change
"{'id': None, 'name': 'Digital Journal'}",Dr. Tim Sandle,Clean energy is here. Getting it to EVs is not,"The existing grid’s transmission capacity by as little as 3 to 13% would significantly reduce congestion.
The post Clean energy is here. Getting it to EVs is not appeared first on Digital Journal.",https://www.digitaljournal.com/tech-science/clean-energy-is-here-getting-it-to-evs-is-not/article,https://www.digitaljournal.com/wp-content/uploads/2023/11/c2aea8f2dd9446fa5021366e8ff9c3615cd63bdf.jpg,2025-08-09T13:36:30Z,"An Audi electric SUV -- Switzerland has scrapped an exemption on a car import duty for electric cars - Copyright AFP KARIM JAAFAR
Grid congestion is the key obstacle to electric vehicle (EV) emissio… [+3415 chars]",climate change
"{'id': None, 'name': 'Yahoo Entertainment'}",Lisa Lagace,US homeowners are sinking $21K a year into their homes — thanks to these invisible expenses. Are you doing the same?,The hidden costs of homeownership can clean you out.,https://finance.yahoo.com/news/us-homeowners-sinking-21k-homes-133400756.html,https://media.zenfs.com/en/moneywise_ecomm_711/ea1483005fbf0cf37c5190629c9cac33,2025-08-09T13:34:00Z,"dasha11 / envato
Moneywise and Yahoo Finance LLC may earn commission or revenue through links in the content below.
Did you know the average annual cost of owning and maintaining a single-family ho… [+6177 chars]",climate change
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Global Desk,Multiple Chinese icebreakers deployed off Alaska rattles Trump and America - here's what they are doing,"China’s deployment of five icebreaking ships near Alaska marks a significant increase in its Arctic activities. This move intensifies global competition for control over the region’s natural resources and new shipping routes, prompting the United States to bo…",https://economictimes.indiatimes.com/news/international/us/multiple-chinese-icebreakers-deployed-off-alaska-rattles-trump-and-america-heres-what-they-are-doing/articleshow/123206094.cms,"https://img.etimg.com/thumb/msid-123206094,width-1200,height-630,imgsize-154716,overlay-economictimes/articleshow.jpg",2025-08-09T13:22:10Z,"China has recently deployed five icebreaking vessels in Arctic waters near Alaska, a move that marks an unprecedented escalation in its presence in the region. This significant buildup surpasses the … [+3367 chars]",climate change
"{'id': 'nbc-news', 'name': 'NBC News'}",Samantha Brown,"Why the internet is still obsessed with Octavia E. Butler, years after her death","In “Positive Obsession: The Life and Times of Octavia E. Butler,” author Susanna Miller shares Butler’s quiet yet radical story, revealing how the worlds she imagined were shaped by the one that often shut her out.",https://www.nbcnews.com/news/nbcblk/octavia-e-butler-internet-biography-positive-obsession-susanna-miller-rcna223730,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2025-08/250808-Octavia-E-Butler-aa-141-3d2ea4.jpg",2025-08-09T13:10:40Z,"For pioneering science fiction novelist Octavia E. Butler, writing was more than a profession. It was a form of survival, resistance and reflection. In Positive Obsession: The Life and Times of Octav… [+4628 chars]",climate change
"{'id': None, 'name': 'The-independent.com'}",Amber Raiken,Gen Zers have dozens of people’s exact locations on the Find My app — and they’re too scared to remove them,Generation Z is obsessed with keeping track of their friends thanks to iPhone built-in location sharing app. Amber Raiken speaks to young people tracking the location of so many of their friends — and why it would be rude to remove them,https://www.the-independent.com/life-style/find-my-friends-location-sharing-anxiety-b2804492.html,"https://static.the-independent.com/2025/08/08/16/11/iStock-1224111372.jpeg?trim=0,18,0,18&width=1200&height=800&crop=1200:800",2025-08-09T12:23:51Z,"Your support helps us to tell the story
From reproductive rights to climate change to Big Tech, The Independent is on the ground when the story is developing. Whether it's investigating the financia… [+6641 chars]",climate change
"{'id': None, 'name': 'Crooksandliars.com'}",Chris capper Liebenthal,GOP Lawmaker Proposes A Tariff For Canadian Wildfire Smoke,"Rep Tom Tiffany (MAGA-WI) wants to run for governor of Wisconsin, but he is currently polling fourth in a two-person race* and is desperate to get some traction for his campaign. His brilliant solution is to hit Canada with another tariff because of the smoke…",https://crooksandliars.com/2025/08/gop-lawmaker-proposes-tariff-canadian,https://crooksandliars.com/files/primary_image/25/08/screenshot_2025-08-07_011510.png,2025-08-09T12:21:39Z,"Rep Tom Tiffany (MAGA-WI) wants to run for governor of Wisconsin, but he is currently polling fourth in a two-person race* and is desperate to get some traction for his campaign. His brilliant soluti… [+1896 chars]",climate change
"{'id': None, 'name': 'UN News'}",dpicampaigns,Preparing for the next flood: Protecting women’s health in Bangladesh,"Climate change has worsened monsoon flooding in Bangladesh, putting women of child-bearing age at risk – but the UN reproductive health agency (UNFPA) is helping them prepare.  Read Full Story on UN News
The post Preparing for the next flood: Protecting women…",https://news.un.org/en/story/2025/08/1165615,https://global.unitednations.entermediadb.net/assets/mediadb/services/module/asset/downloads/preset/Libraries/Production%20Library/30-07-25_UNFPA_Bangladesh-2.jpeg/image770x420cropped.jpg,2025-08-09T12:00:00Z,"Sunamganj is a district in the wetland ecosystem in northeast Bangladesh, which is particularly vulnerable to climate change. Floods arrive quickly and suddenly and can last for weeks. They disrupt l… [+5277 chars]",climate change
"{'id': None, 'name': 'The-independent.com'}",Roisin O'Connor,Lizzo shares five key lifestyle changes while pushing back at Ozempic claims,Pop star has been candid about her health journey over the past two years,https://www.the-independent.com/life-style/lizzo-diet-exercise-routine-ozempic-cortisol-calorie-deficit-b2804801.html,"https://static.the-independent.com/2025/08/09/11/59/MixCollage-09-Aug-2025-12-37-PM-3870.jpg?trim=1,0,1,0&width=1200&height=800&crop=1200:800",2025-08-09T11:46:59Z,"Your support helps us to tell the story
From reproductive rights to climate change to Big Tech, The Independent is on the ground when the story is developing. Whether it's investigating the financia… [+3841 chars]",climate change
"{'id': None, 'name': 'The-independent.com'}",Greg Evans,James Gunn pushes back on popular character appearing in The Batman sequel,"‘No one knows anything about The Batman 2,’ said the DC Studios co-CEO",https://www.the-independent.com/arts-entertainment/films/news/james-gunn-robin-the-batman-part-2-b2804802.html,"https://static.the-independent.com/2025/06/16/18/32/James-Gunn-and-Robert-Pattinson.png?trim=0,7,0,7&width=1200&height=800&crop=1200:800",2025-08-09T11:42:52Z,"Your support helps us to tell the story
From reproductive rights to climate change to Big Tech, The Independent is on the ground when the story is developing. Whether it's investigating the financia… [+3229 chars]",climate change
"{'id': 'abc-news', 'name': 'ABC News'}",The Associated Press,Firefighters work to prevent reignition of France's largest wildfire,"About 1,400 firefighters have been deployed in France's southern Aude region to prevent the country's largest wildfire in decades from reigniting",https://abcnews.go.com/International/wireStory/firefighters-battle-prevent-reignition-frances-largest-wildfire-residents-124505362,https://i.abcnewsfe.com/a/6e1ae5db-2702-4e1c-b0ba-7dd0e3d2284a/wirestory_495ac9ea6a7e7b8bac11349af2b2b602_16x9.jpg?w=1600,2025-08-09T11:36:20Z,"PARIS -- About 1,400 firefighters were deployed on Saturday in France's southern Aude region to prevent the country's largest wildfire in decades from reigniting, as all residents were allowed to ret… [+1268 chars]",climate change
"{'id': None, 'name': 'Biztoc.com'}",vox.com,The brutal trade-off that will decide the future of food,"Perhaps the most crucial idea for understanding our species’ future on this planet boils down to two boring words: land use.
To mitigate climate change, humans will need to extract critical minerals to build vast numbers of photovoltaic cells and wind turbine…",https://biztoc.com/x/79f940c3045766cf,https://biztoc.com/cdn/79f940c3045766cf_s.webp,2025-08-09T11:04:24Z,"Perhaps the most crucial idea for understanding our species future on this planet boils down to two boring words: land use.To mitigate climate change, humans will need to extract critical minerals to… [+135 chars]",climate change
"{'id': None, 'name': 'Rolling Out'}",Kendrick Ibasco,What constant arguing really does to your relationship,"Conflict is natural in any relationship. But when disagreements become daily rituals instead of rare occurrences, the impact digs deep into the emotional, psychological and even physical foundation of a couple’s connection. Constant arguing doesn’t just hurt …",https://rollingout.com/2025/08/09/what-constant-arguing-does-relationship/,https://rollingout.com/wp-content/uploads/2025/08/shutterstock_1824212996.jpg,2025-08-09T11:00:45Z,"Conflict is natural in any relationship. But when disagreements become daily rituals instead of rare occurrences, the impact digs deep into the emotional, psychological and even physical foundation o… [+5577 chars]",climate change
"{'id': 'cbc-news', 'name': 'CBC News'}",,Meet the 3 people vying to lead the B.C. Green party,Three people are vying to lead the B.C. Green Party. The leadership race comes as the party struggles for relevance at a time when climate issues are being eclipsed by tariffs and the economy.,https://www.cbc.ca/news/canada/british-columbia/b-c-green-party-leadersip-1.7604917,https://i.cbc.ca/1.7604981.1754695462!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_1180/bc-green-leadership-candidates.jpg?im=Resize%3D620,2025-08-09T11:00:00Z,"It's not easy being a B.C. Green right now.
Sonia Furstenau stepped down as leader after losing her seat in the October election. 
And the Greens just barely hung onto official party status with tw… [+5578 chars]",climate change
